TID,ID
string,string
TID_REVOKE_TITLE,Message From Support
TID_REVOKE_OK,Got it
TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS,Cannot send join request. You are already in a team
TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE,Cannot send join request. You have a pending team invite
TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST,Cannot send join request. You have a pending join request
TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED,Join request canceled
TID_TEAM_JOIN_REQUEST_POPUP_TITLE,I WANT TO JOIN YOUR TEAM
TID_BATTLE_LOG_TVST_RESULT_0,<c00ff00>VICTORY</c>
TID_BATTLE_LOG_TVST_RESULT_1,<ccc0000>DEFEAT</c>
TID_BATTLE_LOG_TVST_RESULT_2,<ccccccc>DRAW</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_0,<c00ff00>RANK <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_1,<ccc0000>RANK <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_2,<ccccccc>RANK <RANK></c>
TID_BATTLE_LOG_AGE,<TIME> ago
TID_BATTLE_LOG_HERO_LEVEL_LABEL,LVL
TID_BATTLE_LOG_TVST_VERSUS,VS
TID_BATTLE_LOG_TITLE,BATTLE LOG
TID_BATTLE_LOG_REPLAY,REPLAY
TID_BATTLE_LOG_SURVIVED_FOR,Survived for <TIME>
TID_BATTLE_LOG_VICTORY_IN,Defeated Big Brawler in <TIME>
TID_BATTLE_LOG_MVP,STAR PLAYER
TID_BATTLE_LOG_FRIENDLY,FRIENDLY
TID_BATTLE_LOG_PVP,RANKED
TID_BATTLE_LOG_NO_ENTRIES,NO ENTRIES
TID_BATTLE_LOG_THIS_IS_A_BOT,This is a bot
TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED,Replays currently disabled
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE,No replay available yet
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW,No replay: too low Brawler trophies
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES,Reach <NUM> Brawler trophies to unlock replays
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR,No replay: recording failed
TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED,Replay no longer available
TID_PLAYER_XP_LEVEL,LEVEL
TID_PLAYER_RANK_TIER_0,I
TID_PLAYER_RANK_TIER_1,II
TID_PLAYER_RANK_TIER_2,III
TID_PLAYER_RANK_TIER_3,IV
TID_PLAYER_RANK_TIER_4,V
TID_PLAYER_RANK_TIER_5,VI
TID_ADD_FRIEND_FAILED,Failed to add friend
